place,lat,lon,context
England,51.5074456,-0.1277653,"XXIV    I TRAVELLED to England third class via Dunkirk and Tilbury, which is the cheapest and not the worst way of crossing the Channel."
Tilbury,51.4687392,0.3529392,"XXIV    I TRAVELLED to England third class via Dunkirk and Tilbury, which is the cheapest and not the worst way of crossing the Channel."
Paradise,51.5288525,-0.2162893,"I was so pleased to be getting home, after being hard up for months in a foreign city, that England seemed to me a sort of Paradise."
London,51.5156177,-0.0919983,'And you should just see the London statues!
Paris,51.5705847,-0.0953922,Paris is vulgar--half grandiosity and half slums.
the Waterloo Road,51.4988704,-0.1062941,"Seeing a man, a navvy or something of the kind, standing on the kerb in the Waterloo Road, I stopped and questioned him."
Tower Hill,51.5101234,-0.0769284,"I crossed the river and walked a long way eastward, finally going into a coffee-shop on Tower Hill."
Pennyfields,51.5094334,-0.0229634,"After my bad experience in the Waterloo Road* I moved eastward, and spent the next night in a lodging-house in Pennyfields."
Wapping,51.5071316,-0.0620152,"All day I loafed in the streets, east as far as Wapping, west as far as Whitechapel."
Whitechapel,51.5174861,-0.0659685,"All day I loafed in the streets, east as far as Wapping, west as far as Whitechapel."
Middlesex Street,51.5177802,-0.0780905,"In Middlesex Street, among the crowds at the market, a draggled, down-at-heel woman was hauling a brat of five by the arm."
the Barnet-St Albans,51.6565697,-0.2022063,"I was told that the Barnet-St Albans route is the best, and they warned me to steer clear of Billericay and Chelmsford, also Ide Hill in Kent."
Billericay,51.6251661,0.4023097,"I was told that the Barnet-St Albans route is the best, and they warned me to steer clear of Billericay and Chelmsford, also Ide Hill in Kent."
Kent,51.4610418,-0.2870329,"I was told that the Barnet-St Albans route is the best, and they warned me to steer clear of Billericay and Chelmsford, also Ide Hill in Kent."
Ilford,51.5582734,0.0711669,Our meal tickets were directed to a coffee-shop in Ilford.
Ireland,51.5189784,-0.1375768,"He had been brought up in Ireland, served two years in the war, and then worked in a metal polish factory, where he had lost his job two years earlier."
Paddy,51.5822109,-0.0300087,"When we were in the outskirts of Romton, Paddy noticed a bottle of milk on a doorstep, evidently left there by mistake."
Trafalgar Square,51.5074374,-0.1285481,"We loitered the day in Trafalgar Square, looking for a friend of Paddy's who never turned up, and at night went to a lodging-house in a back alley near the Strand."
Strand,51.5076273,-0.1271061,"We loitered the day in Trafalgar Square, looking for a friend of Paddy's who never turned up, and at night went to a lodging-house in a back alley near the Strand."
Waterloo Bridge,51.5028379,-0.112801,"Addresses did not exist in Paddy's world, but he had a vague idea that Bozo might be found in Lambeth, and in the end we ran across him on the Embankment, where he had established himself not far from Waterloo Bridge."
Winston,51.5008416,-0.1264307,"For instance, when the Budget was on I had one of Winston trying to push an elephant marked ""Debt"", and underneath I wrote, ""Will he budge it?"""
India,51.5027681,-0.1287184,"The son of a bankrupt bookseller, he had gone to work as a house-painter at eighteen, and then served three years in France and India during the war."
Middlesex,51.5004089,-0.128135,"He returned to England, spent his money in looking for jobs, tried hawking books in Middlesex Street market, then tried selling toys from a tray, and finally settled down as a screever."
Mars,51.5258547,-0.047864,"Sometimes, he said, when sleeping on the Embankment, it had consoled him to look up at Mars or Jupiter and think that there were probably Embankment sleepers there."
turn'--a,51.5491097,-0.0793974,"There were Indians there, and when I spoke to one of them in bad Urdu he addressed me as 'turn'--a thing to make one shudder, if it had been in India."
Liverpool,51.5176474,-0.0864414,"A little Chittagonian lascar, barefoot and starving, who had deserted his ship and wandered for days through London, so vague and helpless that he did not even know the name of the city he was in--he thought it was Liverpool, until I told him."
the Commercial Road,51.5145473,-0.0638173,He and his mate 'worked' the coffee-shops and public-houses round Whitechapel and the Commercial Road.
Hyde Park,51.5074889,-0.1622074,"At the time when I was with him there had been a case of 'immoral conduct' in Hyde Park, in which the police had behaved rather badly."
East End,51.883948,-2.0442091,"Judy' and 'bawl' are East End words, not found west of Tower Bridge."
Tower Bridge,51.5055158,-0.0753665,"Judy' and 'bawl' are East End words, not found west of Tower Bridge."
Hallelujah,51.5318395,0.1469447,"It was, indeed, a sufficiently ludicrous service--the kind where there are sudden yells of 'Hallelujah!'"
Castle,51.4654358,0.0089055,"The pavements were wet, and he had gone to the Elephant and Castle, where he knew of a pitch under shelter."
Hercules,51.490945,-0.1539663,"One of them, Bill, was an interesting type, a genuine sturdy beggar of the old breed, strong as Hercules and a frank foe of work."
Oxford,51.5135884,-0.1570524,"When I was in Oxford I mooched bread, and I mooched bacon, and I mooched beef, and every night I mooched tanners for my kip off of the students."
Norfolk,51.4612797,-0.2878002,"Among the casuals were two young men named William and Fred, ex-fishermen from Norfolk, a lively pair and fond of singing."
Wandsworth,51.4570271,-0.1932607,He is in Wandsworth--fourteen days for begging.
Waterloo Road,51.5021883,-0.1098413,"Seeing a man, a navvy or something of the kind, standing on the kerb in the Waterloo Road, I stopped and questioned him."
Dock Road,51.5081283,0.0121543,In the East India Dock Road the Salvation Army were holding a service.
Chelsea Bridge,51.4845207,-0.1498067,Once a child got its head stuck in the railings of Chelsea Bridge.
Commercial Road,51.5144471,-0.056193,He and his mate 'worked' the coffee-shops and public-houses round Whitechapel and the Commercial Road.
Cross Bridge,51.5306637,-0.1209508,"Under Charing Cross Bridge fifty men were waiting, mirrored in the shivering puddles."
Kent Road,51.5459192,0.1601735,"We went southward by the Old Kent Road, making for Cromley; we could not go to a London spike, for Paddy had been in one recently and did not care to risk going again."
