Place;Neighbourhood;City;Action;Spending;Spending (Decimal Pounds System);Category;Day
Family Hotel;City of London;London;Bed;7s 6d;0,375;Accommodation;Day 2
Doss-House;Waterloo;London;Bed;1s;0,05;Accommodation;Day 3
Coffee Shop;Tower Hill;London;Tea and Two Slices;3½d;0,015;Food;Day 4
Lodge-House;Poplar;London;Bed;1s;0,05;Accommodation;Day 4
Lodge-House;Poplar;London;Bed;1s;0,05;Accommodation;Day 5
Lodge-House;Poplar;London;Bed;1s;0,05;Accommodation;Day 6
Lodge-House;Poplar;London;Bed;1s;0,05;Accommodation;Day 7
Lodge-House;Bow;London;Bed;8d;0,035;Accommodation;Day 8
Coffee Shop;Bow;London;Tea and Two Slices;3½d;0,015;Food;Day 9
Coffee Shop;Ilford;London;Tea and Two Slices;8d;0,035;Food;Day 10
Salvation Army Shelter;City of London;London;Bed;8d;0,035;Accommodation;Day 11
Coffee Shop;City of London;London;Cup of Tea;3½d;0,015;Food;Day 12
Lodge-House;Westminster;London;Bed;11d;0,045;Accommodation;Day 12
Lodge-House;Embarkment;London;Bed;9d;0,04;Accommodation;Day 13
Lodge-House;Embarkment;London;Bed;8d;0,035;Accommodation;Day 21
Coffee Shop;Embarkment;London;Tea and Two Slices;3d;0,015;Food;Day 21
Coffee Shop;Embarkment;London;Dinner;4d;0,015;Food;Day 21
Shop;Bromley;London;Bread;1d;0,005;Food;Day 22
Shop;Lower Binfield;Kent;Bread and Tobacco;1d;0,005;Food;Day 23
